Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros,"",Conversion Ratio,Warehouse Name,Warehouse Country,Warehouse City,Customer Country,Customer City,Road,Rail,Sea,Air,Location,_right,GPS 1,GPS 2,KG,CO2 Road,CO2 Rail,CO2 Sea,CO2 Air,CO2 Total
2025-01-05 00:00:00.000,1-2025,2501001,6001001-01,ORD2025001,1,963543-43,15.0,2850.0,1,0.05,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,BANGALORE,2450.0,1800.0,0.0,1200.0,"INDIA, BANGALORE",1,12.9716,77.5946,0.75,0.17640000000000003,0.0378,0.0,1.8900000000000001,2.1042
2025-01-08 00:00:00.000,1-2025,2501001,6001002-02,ORD2025002,1,8902753-53,300.0,4500.0,2,0.08,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,HYDERABAD,1850.0,1400.0,0.0,1200.0,"INDIA, HYDERABAD",2,17.385,78.4867,24.0,4.2623999999999995,0.9408000000000001,0.0,60.480000000000004,65.6832
2025-01-08 00:00:00.000,1-2025,2501001,6001002-02,ORD2025002,2,8308591-91,450.0,6750.0,3,0.1,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,HYDERABAD,1850.0,1400.0,0.0,1200.0,"INDIA, HYDERABAD",2,17.385,78.4867,45.0,7.992,1.764,0.0,113.4,123.156
2025-01-08 00:00:00.000,1-2025,2501001,6001002-02,ORD2025002,3,8308621-21,600.0,9000.0,4,0.12,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,HYDERABAD,1850.0,1400.0,0.0,1200.0,"INDIA, HYDERABAD",2,17.385,78.4867,72.0,12.787199999999999,2.8224,0.0,181.44,197.0496
2025-01-10 00:00:00.000,1-2025,2501001,6001003-03,ORD2025003,1,8022921-21,200.0,5500.0,5,0.07,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,PUNE,1650.0,1200.0,0.0,1400.0,"INDIA, PUNE",3,18.5204,73.8567,14.000000000000002,2.2176000000000005,0.47040000000000004,0.0,41.160000000000004,43.848000000000006
2025-01-12 00:00:00.000,1-2025,2501002,6002001-01,ORD2025004,1,8128704-04,350.0,7200.0,6,0.09,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,BANGALORE,1450.0,1050.0,400.0,1000.0,"INDIA, BANGALORE",1,12.9716,77.5946,31.5,4.3848,0.9261000000000001,0.126,66.15,71.5869
2025-01-15 00:00:00.000,1-2025,2501002,6002002-02,ORD2025005,1,802077-77,250.0,4500.0,7,0.06,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,HYDERABAD,1250.0,900.0,350.0,900.0,"INDIA, HYDERABAD",2,17.385,78.4867,15.0,1.8,0.378,0.0525,28.35,30.5805
2025-01-15 00:00:00.000,1-2025,2501002,6002002-02,ORD2025005,2,888751-51,180.0,2700.0,8,0.04,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,HYDERABAD,1250.0,900.0,350.0,900.0,"INDIA, HYDERABAD",2,17.385,78.4867,7.2,0.864,0.18144,0.0252,13.607999999999999,14.678639999999998
2025-01-18 00:00:00.000,1-2025,2501002,6002003-03,ORD2025006,1,897001-01,220.0,4400.0,9,0.08,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,PUNE,450.0,330.0,0.0,350.0,"INDIA, PUNE",3,18.5204,73.8567,17.6,0.7603200000000001,0.16262400000000002,0.0,12.936000000000002,13.858944000000001
2025-01-20 00:00:00.000,1-2025,2501001,6001004-04,ORD2025007,1,8308601-01,280.0,5600.0,10,0.11,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,AHMEDABAD,850.0,650.0,0.0,900.0,"INDIA, AHMEDABAD",4,23.0225,72.5714,30.8,2.51328,0.56056,0.0,58.21200000000001,61.28584000000001
2025-02-02 00:00:00.000,2-2025,2501001,6001005-05,ORD2025008,1,993081-81,120.0,18000.0,11,45.5,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,JAIPUR,250.0,180.0,0.0,250.0,"INDIA, JAIPUR",5,26.9124,75.7873,5460.0,131.04,27.5184,0.0,2866.5,3025.0584
2025-02-05 00:00:00.000,2-2025,2501002,6002004-04,ORD2025009,1,993081-81,95.0,14250.0,11,45.5,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,AHMEDABAD,650.0,480.0,0.0,700.0,"INDIA, AHMEDABAD",4,23.0225,72.5714,4322.5,269.724,58.09439999999999,0.0,6354.075,6681.8934
2025-02-08 00:00:00.000,2-2025,2501003,6003001-01,ORD2025010,1,802063-63,400.0,6000.0,12,0.15,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,INDIA,HYDERABAD,850.0,620.0,0.0,800.0,"INDIA, HYDERABAD",2,17.385,78.4867,60.0,4.896,1.0415999999999999,0.0,100.80000000000001,106.73760000000001
2025-02-10 00:00:00.000,2-2025,2501003,6003001-01,ORD2025010,2,8128741-41,1800.0,9000.0,13,2.25,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,INDIA,HYDERABAD,850.0,620.0,0.0,800.0,"INDIA, HYDERABAD",2,17.385,78.4867,4050.0,330.48,70.308,0.0,6804.0,7204.7880000000005
2025-02-12 00:00:00.000,2-2025,2501001,6001006-06,ORD2025011,1,963543-43,25.0,4750.0,1,0.05,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,LUCKNOW,520.0,380.0,0.0,600.0,"INDIA, LUCKNOW",6,26.8467,80.9462,1.25,0.062400000000000004,0.013300000000000001,0.0,1.5750000000000002,1.6507000000000003
2025-02-15 00:00:00.000,2-2025,2501002,6002005-05,ORD2025012,1,8902753-53,280.0,4200.0,2,0.08,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,SURAT,380.0,280.0,0.0,400.0,"INDIA, SURAT",10,21.1702,72.8311,22.400000000000002,0.8171520000000001,0.17561600000000002,0.0,18.816000000000003,19.808768000000004
2025-03-01 00:00:00.000,3-2025,2501003,6003002-02,ORD2025013,1,8308591-91,520.0,7800.0,3,0.1,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,INDIA,COIMBATORE,550.0,400.0,0.0,700.0,"INDIA, COIMBATORE",12,11.0026,76.9124,52.0,2.7456,0.5824,0.0,76.44,79.768
2025-03-05 00:00:00.000,3-2025,2501001,6001007-07,ORD2025014,1,8308621-21,380.0,5700.0,4,0.12,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,KANPUR,680.0,500.0,0.0,700.0,"INDIA, KANPUR",7,26.4499,80.3319,45.6,2.9767680000000003,0.6384000000000001,0.0,67.03200000000001,70.64716800000001
2025-03-08 00:00:00.000,3-2025,2501002,6002006-06,ORD2025015,1,8022921-21,190.0,4750.0,5,0.07,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,NASHIK,320.0,240.0,0.0,300.0,"INDIA, NASHIK",11,19.9975,73.7898,13.3,0.40857600000000005,0.08937600000000001,0.0,8.379000000000001,8.876952000000001
2025-03-10 00:00:00.000,3-2025,2501003,6003003-03,ORD2025016,1,8128704-04,270.0,5400.0,6,0.09,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,INDIA,KOCHI,1200.0,880.0,600.0,900.0,"INDIA, KOCHI",13,9.9312,76.2673,24.3,2.7993600000000005,0.5987520000000001,0.1458,45.92700000000001,49.470912000000006
2025-04-03 00:00:00.000,4-2025,2501001,6001008-08,ORD2025017,1,963543-43,45.0,8550.0,1,0.05,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,CHANDIGARH,300.0,220.0,0.0,300.0,"INDIA, CHANDIGARH",14,30.7333,76.7794,2.25,0.0648,0.013859999999999999,0.0,1.4175,1.49616
2025-04-07 00:00:00.000,4-2025,2501002,6002007-07,ORD2025018,1,8902753-53,320.0,4800.0,2,0.08,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,PUNE,450.0,330.0,0.0,350.0,"INDIA, PUNE",3,18.5204,73.8567,25.6,1.1059200000000002,0.236544,0.0,18.816000000000003,20.158464000000002
2025-04-10 00:00:00.000,4-2025,2501003,6003004-04,ORD2025019,1,8308591-91,600.0,9000.0,3,0.1,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,INDIA,COIMBATORE,550.0,400.0,0.0,700.0,"INDIA, COIMBATORE",12,11.0026,76.9124,60.0,3.168,0.672,0.0,88.2,92.04
2025-04-15 00:00:00.000,4-2025,2501003,6003005-05,ORD2025020,1,8308621-21,420.0,6300.0,4,0.12,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,INDIA,KOCHI,1200.0,880.0,600.0,900.0,"INDIA, KOCHI",13,9.9312,76.2673,50.4,5.806080000000001,1.241856,0.3024,95.256,102.606336
2025-05-02 00:00:00.000,5-2025,2501001,6001009-09,ORD2025021,1,8022921-21,310.0,7750.0,5,0.07,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,INDORE,420.0,300.0,0.0,450.0,"INDIA, INDORE",15,22.7196,75.8577,21.700000000000003,0.8749440000000003,0.18228000000000005,0.0,20.506500000000006,21.563724000000008
2025-05-06 00:00:00.000,5-2025,2501002,6002010-10,ORD2025022,1,8128704-04,260.0,5400.0,6,0.09,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,THANE,200.0,150.0,0.0,220.0,"INDIA, THANE",,0.0,0.0,23.4,0.44927999999999996,0.09827999999999999,0.0,10.8108,11.358360000000001
2025-05-12 00:00:00.000,5-2025,2501002,7001001-01,ORD2025023,1,8308601-01,500.0,10000.0,10,0.11,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,UNITED ARAB EMIRATES,DUBAI,0.0,0.0,2000.0,2200.0,"UNITED ARAB EMIRATES, DUBAI",17,25.2048,55.2708,55.0,0.0,0.0,1.1,254.10000000000002,255.20000000000002
2025-05-20 00:00:00.000,5-2025,2501002,7001002-02,ORD2025024,1,897001-01,150.0,3000.0,9,0.08,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,UNITED ARAB EMIRATES,ABU DHABI,0.0,0.0,2200.0,2100.0,"UNITED ARAB EMIRATES, ABU DHABI",18,24.4539,54.3773,12.0,0.0,0.0,0.264,52.92,53.184000000000005
2025-06-01 00:00:00.000,6-2025,2501003,6003011-11,ORD2025025,1,993081-81,200.0,30000.0,11,45.5,WAREHOUSE BANGALORE SOUTH,INDIA,BANGALORE,INDIA,TIRUPATI,700.0,500.0,0.0,750.0,"INDIA, TIRUPATI",,0.0,0.0,9100.0,611.52,127.4,0.0,14332.5,15071.42
2025-06-07 00:00:00.000,6-2025,2501001,6001012-12,ORD2025026,1,963543-43,35.0,6650.0,1,0.05,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,NAGPUR,800.0,600.0,0.0,850.0,"INDIA, NAGPUR",16,21.1458,79.0882,1.75,0.13440000000000002,0.029400000000000003,0.0,3.1237500000000002,3.2875500000000004
2025-06-15 00:00:00.000,6-2025,2501002,7001003-03,ORD2025027,1,8902753-53,420.0,6300.0,2,0.08,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,UNITED ARAB EMIRATES,DUBAI,0.0,0.0,2100.0,2150.0,"UNITED ARAB EMIRATES, DUBAI",17,25.2048,55.2708,33.6,0.0,0.0,0.7056000000000002,151.70400000000004,152.40960000000004
2025-07-03 00:00:00.000,7-2025,2501001,6001013-13,ORD2025028,1,8308591-91,240.0,3600.0,3,0.1,WAREHOUSE DELHI NORTH,INDIA,DELHI,INDIA,BHOPAL,600.0,450.0,0.0,650.0,"INDIA, BHOPAL",,0.0,0.0,24.0,1.3824,0.3024,0.0,32.76,34.4448
2025-07-08 00:00:00.000,7-2025,2501002,6002014-14,ORD2025029,1,8308621-21,360.0,5400.0,4,0.12,WAREHOUSE MUMBAI WEST,INDIA,MUMBAI,INDIA,NAVI MUMBAI,180.0,140.0,0.0,200.0,"INDIA, NAVI MUMBAI",,0.0,0.0,43.199999999999996,0.7464959999999999,0.16934399999999997,0.0,18.144,19.059839999999998
